Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 0 [0/49000 (0%)]	Train Loss: 4.083412	Val Loss: 3.564270	Val Acc: 8
Train Epoch: 0 [640/49000 (1%)]	Train Loss: 3.284849	Val Loss: 2.967311	Val Acc: 18
Train Epoch: 0 [1280/49000 (3%)]	Train Loss: 2.833761	Val Loss: 2.428383	Val Acc: 24
Train Epoch: 0 [1920/49000 (4%)]	Train Loss: 2.423924	Val Loss: 2.352165	Val Acc: 31
Train Epoch: 0 [2560/49000 (5%)]	Train Loss: 2.416914	Val Loss: 2.454102	Val Acc: 32
Train Epoch: 0 [3200/49000 (7%)]	Train Loss: 2.572929	Val Loss: 2.089890	Val Acc: 33
Train Epoch: 0 [3840/49000 (8%)]	Train Loss: 2.453729	Val Loss: 2.142668	Val Acc: 31
Train Epoch: 0 [4480/49000 (9%)]	Train Loss: 2.032568	Val Loss: 1.939361	Val Acc: 36
Train Epoch: 0 [5120/49000 (10%)]	Train Loss: 2.086118	Val Loss: 2.059342	Val Acc: 34
Train Epoch: 0 [5760/49000 (12%)]	Train Loss: 2.083442	Val Loss: 2.005198	Val Acc: 35
Train Epoch: 0 [6400/49000 (13%)]	Train Loss: 1.656179	Val Loss: 1.949491	Val Acc: 38
Train Epoch: 0 [7040/49000 (14%)]	Train Loss: 1.813286	Val Loss: 1.860587	Val Acc: 39
Train Epoch: 0 [7680/49000 (16%)]	Train Loss: 1.852394	Val Loss: 1.742786	Val Acc: 38
Train Epoch: 0 [8320/49000 (17%)]	Train Loss: 2.111284	Val Loss: 1.947745	Val Acc: 38
Train Epoch: 0 [8960/49000 (18%)]	Train Loss: 1.842983	Val Loss: 1.938103	Val Acc: 38
Train Epoch: 0 [9600/49000 (20%)]	Train Loss: 1.878309	Val Loss: 1.737703	Val Acc: 40
Train Epoch: 0 [10240/49000 (21%)]	Train Loss: 1.731226	Val Loss: 1.674443	Val Acc: 45
Train Epoch: 0 [10880/49000 (22%)]	Train Loss: 1.790027	Val Loss: 1.718099	Val Acc: 42
Train Epoch: 0 [11520/49000 (23%)]	Train Loss: 1.628764	Val Loss: 1.807835	Val Acc: 39
Train Epoch: 0 [12160/49000 (25%)]	Train Loss: 1.561769	Val Loss: 1.795925	Val Acc: 40
Train Epoch: 0 [12800/49000 (26%)]	Train Loss: 1.594743	Val Loss: 1.831689	Val Acc: 35
Train Epoch: 0 [13440/49000 (27%)]	Train Loss: 1.716341	Val Loss: 1.598307	Val Acc: 44
Train Epoch: 0 [14080/49000 (29%)]	Train Loss: 1.670240	Val Loss: 1.683724	Val Acc: 43
Train Epoch: 0 [14720/49000 (30%)]	Train Loss: 1.585185	Val Loss: 1.709230	Val Acc: 40
Train Epoch: 0 [15360/49000 (31%)]	Train Loss: 1.696210	Val Loss: 1.627865	Val Acc: 45
Train Epoch: 0 [16000/49000 (33%)]	Train Loss: 1.555914	Val Loss: 1.494630	Val Acc: 47
