Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 0 [0/49000 (0%)]	Train Loss: 2.384248	Val Loss: 2.340168	Val Acc: 10
Train Epoch: 0 [1280/49000 (3%)]	Train Loss: 2.248078	Val Loss: 2.251892	Val Acc: 20
Train Epoch: 0 [2560/49000 (5%)]	Train Loss: 2.281738	Val Loss: 2.248993	Val Acc: 21
Train Epoch: 0 [3840/49000 (8%)]	Train Loss: 2.249160	Val Loss: 2.265117	Val Acc: 19
Train Epoch: 0 [5120/49000 (10%)]	Train Loss: 2.261328	Val Loss: 2.238370	Val Acc: 22
Train Epoch: 0 [6400/49000 (13%)]	Train Loss: 2.291209	Val Loss: 2.223682	Val Acc: 23
Train Epoch: 0 [7680/49000 (16%)]	Train Loss: 2.305710	Val Loss: 2.250692	Val Acc: 20
Train Epoch: 0 [8960/49000 (18%)]	Train Loss: 2.194940	Val Loss: 2.241723	Val Acc: 21
Train Epoch: 0 [10240/49000 (21%)]	Train Loss: 2.199895	Val Loss: 2.207081	Val Acc: 25
Train Epoch: 0 [11520/49000 (23%)]	Train Loss: 2.218868	Val Loss: 2.223684	Val Acc: 23
Train Epoch: 0 [12800/49000 (26%)]	Train Loss: 2.216388	Val Loss: 2.189451	Val Acc: 27
Train Epoch: 0 [14080/49000 (29%)]	Train Loss: 2.218584	Val Loss: 2.213516	Val Acc: 24
Train Epoch: 0 [15360/49000 (31%)]	Train Loss: 2.228891	Val Loss: 2.218378	Val Acc: 24
Train Epoch: 0 [16640/49000 (34%)]	Train Loss: 2.138979	Val Loss: 2.174176	Val Acc: 28
Train Epoch: 0 [17920/49000 (37%)]	Train Loss: 2.185952	Val Loss: 2.186190	Val Acc: 27
Train Epoch: 0 [19200/49000 (39%)]	Train Loss: 2.195119	Val Loss: 2.158239	Val Acc: 30
Train Epoch: 0 [20480/49000 (42%)]	Train Loss: 2.172185	Val Loss: 2.151917	Val Acc: 30
Train Epoch: 0 [21760/49000 (44%)]	Train Loss: 2.161535	Val Loss: 2.181060	Val Acc: 27
Train Epoch: 0 [23040/49000 (47%)]	Train Loss: 2.134556	Val Loss: 2.159557	Val Acc: 30
Train Epoch: 0 [24320/49000 (50%)]	Train Loss: 2.217109	Val Loss: 2.149963	Val Acc: 30
Train Epoch: 0 [25600/49000 (52%)]	Train Loss: 2.180922	Val Loss: 2.173481	Val Acc: 28
Train Epoch: 0 [26880/49000 (55%)]	Train Loss: 2.169202	Val Loss: 2.155570	Val Acc: 30
Train Epoch: 0 [28160/49000 (57%)]	Train Loss: 2.212538	Val Loss: 2.160158	Val Acc: 30
Train Epoch: 0 [29440/49000 (60%)]	Train Loss: 2.255202	Val Loss: 2.132600	Val Acc: 32
Train Epoch: 0 [30720/49000 (63%)]	Train Loss: 2.140706	Val Loss: 2.143903	Val Acc: 31
Train Epoch: 0 [32000/49000 (65%)]	Train Loss: 2.213433	Val Loss: 2.153226	Val Acc: 30
Train Epoch: 0 [33280/49000 (68%)]	Train Loss: 2.132937	Val Loss: 2.156553	Val Acc: 30
Train Epoch: 0 [34560/49000 (70%)]	Train Loss: 2.157955	Val Loss: 2.158736	Val Acc: 30
Train Epoch: 0 [35840/49000 (73%)]	Train Loss: 2.207844	Val Loss: 2.149806	Val Acc: 31
Train Epoch: 0 [37120/49000 (76%)]	Train Loss: 2.152137	Val Loss: 2.166856	Val Acc: 29
Train Epoch: 0 [38400/49000 (78%)]	Train Loss: 2.152756	Val Loss: 2.168226	Val Acc: 29
Train Epoch: 0 [39680/49000 (81%)]	Train Loss: 2.118014	Val Loss: 2.153600	Val Acc: 30
Train Epoch: 0 [40960/49000 (84%)]	Train Loss: 2.158459	Val Loss: 2.159517	Val Acc: 30
Train Epoch: 0 [42240/49000 (86%)]	Train Loss: 2.218114	Val Loss: 2.143829	Val Acc: 31
Train Epoch: 0 [43520/49000 (89%)]	Train Loss: 2.151224	Val Loss: 2.140939	Val Acc: 32
Train Epoch: 0 [44800/49000 (91%)]	Train Loss: 2.225786	Val Loss: 2.145512	Val Acc: 31
Train Epoch: 0 [46080/49000 (94%)]	Train Loss: 2.188307	Val Loss: 2.162938	Val Acc: 29
Train Epoch: 0 [47360/49000 (97%)]	Train Loss: 2.164137	Val Loss: 2.142273	Val Acc: 31
Train Epoch: 0 [48640/49000 (99%)]	Train Loss: 2.155251	Val Loss: 2.159526	Val Acc: 30
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.169547	Val Loss: 2.155849	Val Acc: 30
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.226413	Val Loss: 2.151794	Val Acc: 30
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.169904	Val Loss: 2.171638	Val Acc: 28
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.127911	Val Loss: 2.159077	Val Acc: 29
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.172730	Val Loss: 2.162120	Val Acc: 29
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 2.124241	Val Loss: 2.152444	Val Acc: 30
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 2.108751	Val Loss: 2.157197	Val Acc: 30
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 2.126329	Val Loss: 2.148686	Val Acc: 31
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.190034	Val Loss: 2.153890	Val Acc: 30
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 2.137075	Val Loss: 2.141718	Val Acc: 31
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 2.136852	Val Loss: 2.149813	Val Acc: 31
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 2.195089	Val Loss: 2.127724	Val Acc: 32
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.123393	Val Loss: 2.137914	Val Acc: 32
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 2.116226	Val Loss: 2.148978	Val Acc: 31
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 2.134562	Val Loss: 2.143559	Val Acc: 31
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 2.136494	Val Loss: 2.162349	Val Acc: 30
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.113063	Val Loss: 2.166730	Val Acc: 29
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 2.200612	Val Loss: 2.175220	Val Acc: 28
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.179136	Val Loss: 2.185250	Val Acc: 27
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 2.131802	Val Loss: 2.198207	Val Acc: 26
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.247975	Val Loss: 2.194447	Val Acc: 26
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 2.175697	Val Loss: 2.166979	Val Acc: 29
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 2.095289	Val Loss: 2.181694	Val Acc: 27
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 2.159933	Val Loss: 2.164860	Val Acc: 29
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 2.124888	Val Loss: 2.196606	Val Acc: 26
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 2.162979	Val Loss: 2.186419	Val Acc: 27
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 2.109370	Val Loss: 2.189192	Val Acc: 27
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 2.186888	Val Loss: 2.177213	Val Acc: 28
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.124508	Val Loss: 2.185958	Val Acc: 27
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 2.195649	Val Loss: 2.185106	Val Acc: 27
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 2.161332	Val Loss: 2.180703	Val Acc: 27
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 2.122874	Val Loss: 2.158869	Val Acc: 30
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 2.196865	Val Loss: 2.160865	Val Acc: 29
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 2.241263	Val Loss: 2.164303	Val Acc: 29
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 2.186071	Val Loss: 2.159386	Val Acc: 30
