Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.322263	Val Loss: 2.316121	Val Acc: 10
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.261221	Val Loss: 2.240916	Val Acc: 21
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.223752	Val Loss: 2.207042	Val Acc: 24
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.194163	Val Loss: 2.172122	Val Acc: 28
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.186395	Val Loss: 2.160155	Val Acc: 30
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.181365	Val Loss: 2.148076	Val Acc: 30
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.199261	Val Loss: 2.141387	Val Acc: 32
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.191788	Val Loss: 2.130992	Val Acc: 32
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 2.147291	Val Loss: 2.119763	Val Acc: 34
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.160581	Val Loss: 2.111915	Val Acc: 35
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.123039	Val Loss: 2.108162	Val Acc: 36
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 2.135469	Val Loss: 2.103579	Val Acc: 35
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 2.132160	Val Loss: 2.101005	Val Acc: 36
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 2.087589	Val Loss: 2.090963	Val Acc: 37
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 2.100504	Val Loss: 2.089330	Val Acc: 37
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.117647	Val Loss: 2.088124	Val Acc: 38
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 2.127983	Val Loss: 2.085516	Val Acc: 38
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 2.084895	Val Loss: 2.088037	Val Acc: 38
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 2.096385	Val Loss: 2.089123	Val Acc: 36
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 2.086577	Val Loss: 2.082635	Val Acc: 37
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 2.110636	Val Loss: 2.081556	Val Acc: 37
Train Epoch: 3 [5120/49000 (10%)]	Train Loss: 2.085241	Val Loss: 2.078284	Val Acc: 37
Train Epoch: 3 [10240/49000 (21%)]	Train Loss: 2.069750	Val Loss: 2.079278	Val Acc: 38
Train Epoch: 3 [15360/49000 (31%)]	Train Loss: 2.037038	Val Loss: 2.074953	Val Acc: 39
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 2.075986	Val Loss: 2.076295	Val Acc: 39
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 2.058299	Val Loss: 2.071390	Val Acc: 39
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 2.088594	Val Loss: 2.074446	Val Acc: 37
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 2.048331	Val Loss: 2.067660	Val Acc: 40
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 2.076679	Val Loss: 2.074967	Val Acc: 38
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.060417	Val Loss: 2.074593	Val Acc: 38
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.092186	Val Loss: 2.071152	Val Acc: 39
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 2.065555	Val Loss: 2.073689	Val Acc: 38
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 2.066633	Val Loss: 2.070463	Val Acc: 38
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 2.080625	Val Loss: 2.064718	Val Acc: 39
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 2.060348	Val Loss: 2.064126	Val Acc: 39
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 2.068725	Val Loss: 2.061341	Val Acc: 39
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 2.076566	Val Loss: 2.058783	Val Acc: 39
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 2.037906	Val Loss: 2.060887	Val Acc: 39
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 2.061837	Val Loss: 2.061440	Val Acc: 38
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 2.043807	Val Loss: 2.059609	Val Acc: 40
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 2.014123	Val Loss: 2.059703	Val Acc: 39
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 2.043802	Val Loss: 2.056711	Val Acc: 40
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 2.039127	Val Loss: 2.056093	Val Acc: 39
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 2.025964	Val Loss: 2.056864	Val Acc: 40
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 2.058055	Val Loss: 2.051547	Val Acc: 41
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 2.035214	Val Loss: 2.051456	Val Acc: 40
Train Epoch: 5 [30720/49000 (62%)]	Train Loss: 2.000231	Val Loss: 2.051412	Val Acc: 40
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 2.035291	Val Loss: 2.048984	Val Acc: 40
Train Epoch: 5 [40960/49000 (83%)]	Train Loss: 2.038409	Val Loss: 2.047146	Val Acc: 40
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 2.073562	Val Loss: 2.047055	Val Acc: 40

test set: Average loss: 2.0448, Accuracy: 4178/10000 (41%)

